rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
125,frame_0295.jpg,118.0,0.4986,0.5537,0.2857,0.68,9,2,False,False
126,frame_0198.jpg,79.2,0.493,0.81,0.0,0.44,1,0,False,False
127,frame_0172.jpg,68.8,0.4929,0.5686,0.4286,0.4,8,3,False,False
128,frame_0009.jpg,3.6,0.4924,0.4134,0.2857,1.0,4,2,False,False
129,frame_0386.jpg,154.4,0.4917,0.8016,0.1429,0.24,7,1,False,False
130,frame_0279.jpg,111.6,0.4905,0.6656,0.2857,0.36,7,2,False,False
131,frame_0122.jpg,48.8,0.4896,0.6534,0.1429,0.6,4,1,False,False
132,frame_0125.jpg,50.0,0.488,0.5166,0.2857,0.72,7,2,False,False
133,frame_0308.jpg,123.2,0.4859,0.6507,0.4286,0.16,7,3,False,False
134,frame_0203.jpg,81.2,0.4853,0.4575,0.4286,0.64,5,3,False,False
135,frame_0026.jpg,10.4,0.4836,0.3958,0.2857,1.0,4,2,False,False
136,frame_0183.jpg,73.2,0.4835,0.7795,0.2857,0.04,4,2,False,False
137,frame_0094.jpg,37.6,0.4828,0.6284,0.4286,0.2,4,3,False,False
138,frame_0011.jpg,4.4,0.482,0.4783,0.1429,1.0,5,1,False,False
139,frame_0381.jpg,152.4,0.4805,0.6878,0.4286,0.04,8,3,False,False
140,frame_0317.jpg,126.8,0.4784,0.6196,0.4286,0.2,10,3,False,False
141,frame_0091.jpg,36.4,0.477,0.5688,0.4286,0.32,5,3,False,False
142,frame_0301.jpg,120.4,0.4759,0.6044,0.2857,0.44,7,2,False,False
143,frame_0191.jpg,76.4,0.4757,0.6303,0.4286,0.16,9,3,False,False
144,frame_0032.jpg,12.8,0.4756,0.3798,0.2857,1.0,6,2,False,False
145,frame_0086.jpg,34.4,0.4749,0.4846,0.4286,0.52,5,3,False,False
146,frame_0229.jpg,91.6,0.4742,0.6592,0.4286,0.08,9,3,False,False
147,frame_0225.jpg,90.0,0.4739,0.6586,0.4286,0.08,7,3,False,False
148,frame_0020.jpg,8.0,0.466,0.532,0.0,1.0,3,0,False,False
149,frame_0194.jpg,77.6,0.4635,0.6435,0.2857,0.28,7,2,False,False
150,frame_0201.jpg,80.4,0.4634,0.4456,0.4286,0.56,4,3,False,False
151,frame_0280.jpg,112.0,0.463,0.5088,0.4286,0.4,7,3,False,False
152,frame_0307.jpg,122.8,0.463,0.5888,0.4286,0.2,9,3,False,False
153,frame_0012.jpg,4.8,0.4615,0.3516,0.2857,1.0,5,2,False,False
154,frame_0397.jpg,158.8,0.4608,0.5844,0.4286,0.2,6,3,False,False
155,frame_0226.jpg,90.4,0.4604,0.6476,0.4286,0.04,7,3,False,False
156,frame_0395.jpg,158.0,0.4601,0.615,0.4286,0.12,7,3,False,False
157,frame_0207.jpg,82.8,0.4597,0.4279,0.2857,0.8,4,2,False,False
158,frame_0275.jpg,110.0,0.4595,0.6676,0.2857,0.2,7,2,False,False
